,m,mzml_file,structure,analysis_date,C13_theo_mz,H2_theo_mz,mean_mz,raw_intensity,mid
0,0,mca_1_l_d2o.mzML,acutumine.sdf,2019-01-24 11:33:08.554099,398.13649162008994,398.13649162008994,398.1348712599711,177147346.578125,0.5904692255254198
1,1,mca_1_l_d2o.mzML,acutumine.sdf,2019-01-24 11:33:08.554099,399.1398464578899,399.14276836595997,399.1388297004134,41433847.05859375,0.1381076942771868
2,2,mca_1_l_d2o.mzML,acutumine.sdf,2019-01-24 11:33:08.554099,400.14320129568995,400.14904511182993,400.1329963471481,64150351.1015625,0.2138265622591088
3,3,mca_1_l_d2o.mzML,acutumine.sdf,2019-01-24 11:33:08.554099,401.1465561334899,401.15532185769996,401.1366636027097,14528267.448242188,0.048425759652044625
4,4,mca_1_l_d2o.mzML,acutumine.sdf,2019-01-24 11:33:08.554099,402.14991097128996,402.1615986035699,402.1389963229645,2355091.7478027344,0.007850014280361266
5,5,mca_1_l_d2o.mzML,acutumine.sdf,2019-01-24 11:33:08.554099,403.15326580908993,403.16787534943995,403.1425577269326,396237.9172973633,0.0013207440058787237
